https;109.245.239.125;55311
https;45.119.90.152;51256
https;190.18.207.58;53281
https;103.149.39.18;33513
https;36.67.66.100;38990
https;46.249.123.146;8080
https;88.198.33.232;1080
https;200.32.51.179;8080
https;118.97.100.83;35220
https;212.42.113.240;49297
socks4;131.0.246.158;39222
socks4;195.225.48.97;55774
socks4;37.32.45.221;1080
socks4;103.12.246.21;4145
socks4;190.89.28.20;4145
socks4;45.7.177.190;39867
socks4;84.205.15.25;4145
socks4;45.70.249.87;45823
socks4;175.41.45.184;34432
socks4;84.242.183.150;4153
socks4;198.50.177.44;44699
socks4;186.145.239.223;4145
socks5;102.129.249.120;1080
https;163.172.168.124;3128
socks4;181.129.96.35;4145
socks4;200.24.84.4;55645
http;1.0.0.65;80
http;131.221.64.152;23500
socks4;190.109.72.25;33633
socks4;14.232.163.52;10801
http;120.29.124.131;8080
https;51.158.21.154;5836
socks4;112.78.134.154;4145
socks4;103.241.227.107;6667
socks4;202.79.34.167;61515
http;43.240.112.243;8080
http;1.0.0.188;80
http;1.0.0.232;80
http;185.200.36.230;8080
socks4;41.180.98.70;1080
socks4;103.247.226.114;41283
socks4;113.11.110.46;4145
socks4;103.101.82.238;4145
http;51.158.20.64;5836
http;202.62.11.106;8080
socks4;177.73.46.2;4145
socks4;185.130.144.251;63303
socks4;200.24.255.14;4145
socks4;170.80.64.94;33338
socks4;93.87.75.118;47505
socks4;168.181.128.132;4145
socks4;181.211.255.146;56106
socks4;41.162.125.226;39894
socks4;212.156.86.226;4145
socks4;181.143.10.130;47208
socks4;125.165.179.254;53639
socks4;103.241.227.108;6667
socks4;101.51.141.20;4153
socks4;94.45.208.77;1080
socks4;78.110.154.177;51676
socks4;50.250.56.129;48380
socks4;103.141.108.142;4145
socks4;187.190.237.67;39835
socks4;131.108.118.103;4145
socks4;188.235.61.20;4145
socks4;84.51.33.98;4145
http;24.113.38.57;48678
socks4;201.140.103.33;59311
socks4;116.50.29.50;4145
socks4;191.37.68.142;32627
http;69.162.71.122;5836
http;173.82.74.62;5836
socks4;78.186.109.7;4145
http;69.162.82.154;5836
https;212.83.151.69;5836
socks4;46.52.213.194;58522
https;212.129.58.162;5836
socks4;82.114.82.90;56068
http;139.99.90.98;8080
socks4;112.199.65.117;4145
socks4;103.192.156.171;4145
socks4;93.190.58.4;47491
socks4;177.91.9.17;59515
socks4;78.41.174.197;47411
socks4;82.144.207.116;4145
socks4;178.212.64.52;49137
socks4;95.229.138.72;1080
socks4;193.34.161.137;44436
socks4;69.61.200.104;36181
socks4;91.183.222.209;1080
socks4;103.135.76.1;34836
socks4;62.112.193.15;1080
socks4;37.57.18.221;35369
http;181.48.54.202;3128
socks4;103.109.0.241;5430
socks4;95.128.142.76;1080
http;1.0.0.204;80
socks4;36.67.51.186;31212
socks4;80.94.118.192;4145
http;1.0.0.48;80
socks4;103.69.20.43;4145
socks4;89.22.248.5;4145
socks4;82.155.28.72;34245
socks4;103.26.213.228;4153
