socks4;186.145.239.223;4145
http;1.0.0.188;80
socks4;93.87.75.118;47505
socks4;78.110.154.177;51676
socks4;187.190.237.67;39835
socks4;84.51.33.98;4145
http;24.113.38.57;48678
socks4;116.50.29.50;4145
socks4;191.37.68.142;32627
http;69.162.71.122;5836
http;139.99.90.98;8080
socks4;177.91.9.17;59515
socks4;178.212.64.52;49137
socks4;193.34.161.137;44436
socks4;69.61.200.104;36181
socks4;37.57.18.221;35369
http;1.0.0.204;80
socks4;82.155.28.72;34245
